Category,Quarter,Expenditure
Domestic airfares,Q1,4130
Package Tours,Q1,369
Organised Tours,Q1,306
Rental vehicles,Q1,522
Petrol,Q1,5440
Vehicle maintenance/repairs,Q1,291
Taxi,Q1,367
Other local public transport,Q1,222
Long distance public transport,Q1,1023
Accommodation,Q1,8074
Groceries for self-catering,Q1,2175
Alcohol, drinks (not already reported),Q1,2012
Takeaways and restaurant meals,Q1,7027
Shopping / gifts / souvenirs,Q1,4377
Entertainment,Q1,1486
Gambling,Q1,144
Education fees,Q1,84
Convention / Conference / Seminar / Trade fair,Q1,159
Other expenditure nfd,Q1,671
Domestic airfares,Q2,4181
Package Tours,Q2,398
Organised Tours,Q2,341
Rental vehicles,Q2,510
Petrol,Q2,5370
Vehicle maintenance/repairs,Q2,396
Taxi,Q2,384
Other local public transport,Q2,226
Long distance public transport,Q2,946
Accommodation,Q2,6798
Groceries for self-catering,Q2,2030
Alcohol, drinks (not already reported),Q2,1891
Takeaways and restaurant meals,Q2,6475
Shopping / gifts / souvenirs,Q2,4124
Entertainment,Q2,1241
Gambling,Q2,156
Education fees,Q2,85
Convention / Conference / Seminar / Trade fair,Q2,172
Other expenditure nfd,Q2,650
Domestic airfares,Q3,4605
Package Tours,Q3,468
Organised Tours,Q3,333
Rental vehicles,Q3,542
Petrol,Q3,5637
Vehicle maintenance/repairs,Q3,522
Taxi,Q3,428
Other local public transport,Q3,231
Long distance public transport,Q3,986
Accommodation,Q3,6789
Groceries for self-catering,Q3,2185
Alcohol, drinks (not already reported),Q3,1928
Takeaways and restaurant meals,Q3,6626
Shopping / gifts / souvenirs,Q3,4187
Entertainment,Q3,1228
Gambling,Q3,191
Education fees,Q3,77
Convention / Conference / Seminar / Trade fair,Q3,189
Other expenditure nfd,Q3,754
Domestic airfares,Q4,4744
Package Tours,Q4,537
Organised Tours,Q4,364
Rental vehicles,Q4,558
Petrol,Q4,5966
Vehicle maintenance/repairs,Q4,603
Taxi,Q4,498
Other local public transport,Q4,241
Long distance public transport,Q4,1057
Accommodation,Q4,7492
Groceries for self-catering,Q4,2417
Alcohol, drinks (not already reported),Q4,1979
Takeaways and restaurant meals,Q4,7016
Shopping / gifts / souvenirs,Q4,3929
Entertainment,Q4,1256
Gambling,Q4,202
Education fees,Q4,68
Convention / Conference / Seminar / Trade fair,Q4,204
Other expenditure nfd,Q4,834